product_id,product_name,category,price
101,Laptop,Electronics,250
102,Smartphone,Electronics,300
103,Tablet,Electronics,240
104,Headphones,Electronics,100
105,Office Chair,Furniture,400
106,Desk,Furniture,350
107,Bookshelf,Furniture,200
108,Dining Table,Furniture,600
109,T-shirt,Clothing,20
110,Jeans,Clothing,50
111,Jacket,Clothing,80
112,Shoes,Clothing,100
113,Football,Sports,25
114,Tennis Racket,Sports,150
115,Basketball,Sports,30
116,Gym Bag,Sports,50
117,Gym Shoes,Sports,50
118,Laptop Bag,Sports,50
